"Skill","What it does","Outlier fit","Outlier pipeline use","Category","Caution","Source","SKILL.md paths"
"nano-nets-automation","Automate Nano Nets tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/nano-nets-automation/SKILL.md"
"nasa-automation","Automate Nasa tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/nasa-automation/SKILL.md"
"nasdaq-automation","Automate Nasdaq tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/nasdaq-automation/SKILL.md"
"ncscale-automation","Automate Ncscale tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/ncscale-automation/SKILL.md"
"needle-automation","Automate Needle tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/needle-automation/SKILL.md"
"Neon Automation","Automate Neon serverless Postgres operations -- manage projects, branches, databases, roles, and connection URIs via the Composio MCP integration.","Strong","Support durable mirrors, analysis stores, or operational queries around extraction and feedback data; do not replace canonical pack CSV/PackIndex authority without an approved migration.","Data & analytics","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/neon-automation/SKILL.md"
"netlify-deploy","Deploy web projects to Netlify using the Netlify CLI (`npx netlify`). Use when the user asks to deploy, host, publish, or link a site/repo on Netlify, including preview and production deploys.","Supporting","Track pipeline incidents, PR follow-ups, data-source outages, and manual-review tasks; it coordinates work but does not validate pack correctness.","Cloud & infrastructure","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/netlify-deploy/SKILL.md"
"NetSuite Automation","NetSuite Automation: manage customers, sales orders, invoices, inventory, and records via Oracle NetSuite ERP with SuiteQL queries","No direct fit","No direct core-pipeline use. If you adopt NetSuite operationally, this skill can automate that service around Outlier; it should not affect odds, projections, ranking, sizing, or settlement truth.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/netsuite-automation/SKILL.md"
"neuronwriter-automation","Automate Neuronwriter tasks via Rube MCP (Composio). Always search tools first for current schemas.","Supporting","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","AI & research","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/neuronwriter-automation/SKILL.md"
"neutrino-automation","Automate Neutrino tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/neutrino-automation/SKILL.md"
"neverbounce-automation","Automate Neverbounce tasks via Rube MCP (Composio). Always search tools first for current schemas.","No direct fit","Collect or verify public source evidence, sportsbook pages, schedules, injuries, and result pages when APIs are insufficient; preserve provenance and do not bypass feed-health checks.","Business operations","Optional integration; verify credentials, permissions, data provenance, and current service behavior before production use.","Codex skill","C:/Users/dasil/.codex/skills/neverbounce-automation/SKILL.md"
